127.0.0.1, 2016-03-26 00:41:27, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000429
127.0.0.1, 2016-03-26 00:41:27, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2016-03-26 00:41:27, GET, /GRS/static/js/share.js, HTTP/1.1, 200, 0.000435
127.0.0.1, 2016-03-26 00:41:28, GET, /GRS/static/images/background.jpg, HTTP/1.1, 200, 0.001559
127.0.0.1, 2016-03-26 00:41:28, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000442
127.0.0.1, 2016-03-26 00:41:28, GET, /GRS/static/images/twitter.png, HTTP/1.1, 200, 0.000384
127.0.0.1, 2016-03-26 00:41:28, GET, /GRS/static/images/facebook.png, HTTP/1.1, 200, 0.001345
127.0.0.1, 2016-03-26 00:41:28, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 200, 0.000363
127.0.0.1, 2016-03-26 00:41:29, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.001026
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS, HTTP/1.1, 200, 0.040582
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000395
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001940
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000865
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.000367
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000380
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001047
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.000511
127.0.0.1, 2016-03-26 00:41:43, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000833
127.0.0.1, 2016-03-26 00:41:44, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.000369
127.0.0.1, 2016-03-26 00:41:44, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000414
127.0.0.1, 2016-03-26 00:41:44, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.000450
127.0.0.1, 2016-03-26 00:41:44, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.000846
127.0.0.1, 2016-03-26 00:41:44, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.000522
127.0.0.1, 2016-03-26 00:41:44, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000688
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS, HTTP/1.1, 200, 0.033307
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000489
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000434
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000332
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.000390
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000364
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000355
127.0.0.1, 2016-03-26 00:42:39, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.000433
127.0.0.1, 2016-03-26 00:42:40, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.000455
127.0.0.1, 2016-03-26 00:42:40, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000317
127.0.0.1, 2016-03-26 00:42:40, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.000830
127.0.0.1, 2016-03-26 00:42:40, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.000417
127.0.0.1, 2016-03-26 00:42:40, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.000338
127.0.0.1, 2016-03-26 00:42:40, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000484
127.0.0.1, 2016-03-26 00:45:06, GET, /GRS, HTTP/1.1, 500, 0.043449
127.0.0.1, 2016-03-26 00:45:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2016-03-26 00:45:20, GET, /GRS, HTTP/1.1, 500, 0.041818
127.0.0.1, 2016-03-26 00:45:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2016-03-26 00:45:56, GET, /GRS, HTTP/1.1, 500, 0.049520
127.0.0.1, 2016-03-26 00:45:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS, HTTP/1.1, 200, 0.126214
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000483
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000416
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.000931
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001623
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.000988
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000403
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000278
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.000374
127.0.0.1, 2016-03-26 00:46:07, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000335
127.0.0.1, 2016-03-26 00:46:08, GET, /GRS/static/images/background.jpg, HTTP/1.1, 304, 0.000398
127.0.0.1, 2016-03-26 00:46:08, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000369
127.0.0.1, 2016-03-26 00:46:08, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.000391
127.0.0.1, 2016-03-26 00:46:08, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.001065
127.0.0.1, 2016-03-26 00:46:08, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.000810
127.0.0.1, 2016-03-26 00:46:08, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000306
127.0.0.1, 2016-03-26 00:46:14, GET, /GRS, HTTP/1.1, 500, 0.042123
